winner,loser,winner_rating_before,loser_rating_before,winner_rating_after,loser_rating_after,winner_expected,rating_change_winner,rating_change_loser
sup4_t0.7,sup4_t0.7,-20329.14110525146,-20329.14110525146,-20313.14110525146,-20345.14110525146,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-72932.0,-72932.0,-72916.0,-72948.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-74052.0,-74052.0,-74036.0,-74068.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-21497.141105334696,-21497.141105334696,-21481.141105334696,-21513.141105334696,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-76484.0,-76484.0,-76468.0,-76500.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-75844.0,-75844.0,-75828.0,-75860.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-77140.0,-77140.0,-77124.0,-77156.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-23545.141105401926,-23545.141105401926,-23529.141105401926,-23561.141105401926,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-25145.141105401926,-25145.141105401926,-25129.141105401926,-25161.141105401926,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-76948.0,-76948.0,-76932.0,-76964.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-77828.0,-77828.0,-77812.0,-77844.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-26089.14110547876,-26089.14110547876,-26073.14110547876,-26105.14110547876,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-79060.0,-79060.0,-79044.0,-79076.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-26441.141105584407,-26441.141105584407,-26425.141105584407,-26457.141105584407,0.5,16.0,-16.0
sup4_t0.7,ref,-26745.141105664443,-5620.830849659211,-26713.141105667644,-5652.830849656011,9.999999999e-11,31.99999999679858,-31.999999996800398
